"No.","Time","Source","Destination","Protocol","Length","Info"
"275","88.187982728","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=9861 Ack=8353 Win=65535 Len=0"
"276","89.626504698","149.154.167.99","10.0.2.15","TLSv1.2","718","Application Data"
"277","89.626539441","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=9861 Ack=9015 Win=65535 Len=0"
"278","89.653681765","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"279","89.654038658","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=9015 Ack=10028 Win=65535 Len=0"
"280","89.655317991","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"281","89.655655241","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=9015 Ack=10211 Win=65535 Len=0"
"282","89.772274515","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"283","89.786049834","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"284","89.786684369","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=9128 Ack=10378 Win=65535 Len=0"
"285","89.912775379","149.154.167.99","10.0.2.15","TLSv1.2","219","Application Data"
"286","89.928977008","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"287","89.929354546","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=9291 Ack=10561 Win=65535 Len=0"
"288","90.126120098","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"289","90.126957249","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=9291 Ack=10710 Win=65535 Len=0"
"290","90.208814893","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"291","90.253605295","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=10710 Ack=9404 Win=65535 Len=0"
"292","92.123829769","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"293","92.124133960","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=9404 Ack=10893 Win=65535 Len=0"
"294","92.228591223","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"295","92.228626332","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=10893 Ack=9517 Win=65535 Len=0"
"296","94.113976464","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"297","94.114454481","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=9517 Ack=11076 Win=65535 Len=0"
"298","94.193916196","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"299","94.193947726","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=11076 Ack=9630 Win=65535 Len=0"
"300","96.128836984","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"301","96.129231811","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=9630 Ack=11259 Win=65535 Len=0"
"302","96.210837338","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"303","96.210885126","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=11259 Ack=9743 Win=65535 Len=0"
"304","98.129984611","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"305","98.130422051","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=9743 Ack=11392 Win=65535 Len=0"
"306","98.227352497","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"307","98.227390273","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=11392 Ack=9856 Win=65535 Len=0"
"308","100.126413016","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"309","100.126837735","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=9856 Ack=11559 Win=65535 Len=0"
"310","100.204613035","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"311","100.204811317","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=11559 Ack=9969 Win=65535 Len=0"
"312","100.475143463","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"313","100.475581991","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=9969 Ack=11726 Win=65535 Len=0"
"314","100.609843240","149.154.167.99","10.0.2.15","TLSv1.2","507","Application Data"
"315","100.609952267","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=11726 Ack=10420 Win=65535 Len=0"
"316","100.651280274","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"317","100.651772302","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=10420 Ack=11875 Win=65535 Len=0"
"318","102.140162374","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"319","102.140444760","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=10420 Ack=12008 Win=65535 Len=0"
"320","102.222577091","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"321","102.222683611","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=12008 Ack=10533 Win=65535 Len=0"
"322","102.932035175","149.154.167.99","10.0.2.15","TLSv1.2","219","Application Data"
"323","102.932071009","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=12008 Ack=10696 Win=65535 Len=0"
"324","102.942502310","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"325","102.942890343","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=10696 Ack=12191 Win=65535 Len=0"
"326","104.146029172","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"327","104.146917548","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=10696 Ack=12324 Win=65535 Len=0"
"328","104.235180435","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"329","104.276916169","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=12324 Ack=10809 Win=65535 Len=0"
"330","106.130185704","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"331","106.130619899","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=10809 Ack=12491 Win=65535 Len=0"
"332","106.208960991","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"333","106.209007994","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=12491 Ack=10922 Win=65535 Len=0"
"334","108.141438252","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"335","108.141890742","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=10922 Ack=12674 Win=65535 Len=0"
"336","108.220258676","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"337","108.220290809","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=12674 Ack=11035 Win=65535 Len=0"
"338","110.151812423","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"339","110.152221396","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=11035 Ack=12873 Win=65535 Len=0"
"340","110.235974005","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"341","110.236010970","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=12873 Ack=11148 Win=65535 Len=0"
"342","112.151027610","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"343","112.151335913","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=11148 Ack=13040 Win=65535 Len=0"
"344","112.226673535","149.154.167.99","10.0.2.15","TLSv1.2","185","Application Data"
