"No.","Time","Source","Destination","Protocol","Length","Info"
"406","149.242618835","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=10827 Ack=13513 Win=65535 Len=0"
"407","149.322266656","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"408","149.322300415","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=13513 Ack=10940 Win=65535 Len=0"
"409","151.243026094","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"410","151.243548643","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=10940 Ack=13646 Win=65535 Len=0"
"411","151.323441967","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"412","151.323533683","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=13646 Ack=11053 Win=65535 Len=0"
"413","153.232672530","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"414","153.233030429","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=11053 Ack=13845 Win=65535 Len=0"
"415","153.330570960","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"416","153.330634784","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=13845 Ack=11166 Win=65535 Len=0"
"417","153.441649764","149.154.167.99","10.0.2.15","TLSv1.2","606","Application Data"
"418","153.441908106","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=13845 Ack=11716 Win=65535 Len=0"
"419","153.492049616","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"420","153.492416299","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=11716 Ack=14044 Win=65535 Len=0"
"427","155.242369144","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"428","155.243225916","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=11716 Ack=14211 Win=65535 Len=0"
"429","155.327344451","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"430","155.327379905","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=14211 Ack=11829 Win=65535 Len=0"
"431","157.234427706","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"432","157.234751025","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=11829 Ack=14410 Win=65535 Len=0"
"433","157.346902668","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"434","157.347143056","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=14410 Ack=11942 Win=65535 Len=0"
"435","159.266466129","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"436","159.266891043","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=11942 Ack=14559 Win=65535 Len=0"
"437","159.513553508","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"438","159.513590914","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=14559 Ack=12055 Win=65535 Len=0"
"439","161.273377072","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"440","161.274051297","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=12055 Ack=14742 Win=65535 Len=0"
"441","161.353167882","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"442","161.353369596","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=14742 Ack=12168 Win=65535 Len=0"
"443","163.295383549","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"444","163.295802851","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=12168 Ack=14891 Win=65535 Len=0"
"445","163.378637170","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
