"No.","Time","Source","Destination","Protocol","Length","Info"
"124","46.162758420","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=3891 Ack=5019 Win=65535 Len=0"
"125","46.241814040","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"126","46.284750508","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=5019 Ack=4004 Win=65535 Len=0"
"127","48.163628096","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"128","48.164061290","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=4004 Ack=5186 Win=65535 Len=0"
"129","48.245549094","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"130","48.245576533","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=5186 Ack=4117 Win=65535 Len=0"
"131","50.189272796","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"132","50.189679532","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=4117 Ack=5385 Win=65535 Len=0"
"133","50.268757960","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"134","50.268794703","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=5385 Ack=4230 Win=65535 Len=0"
"135","52.169010797","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"136","52.169373229","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=4230 Ack=5568 Win=65535 Len=0"
"137","52.248911530","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"138","52.248960501","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=5568 Ack=4343 Win=65535 Len=0"
"139","54.186709677","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"140","54.186934540","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=4343 Ack=5751 Win=65535 Len=0"
"141","54.266470361","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"142","54.266534279","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=5751 Ack=4456 Win=65535 Len=0"
"143","56.195692027","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"144","56.196056195","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=4456 Ack=5950 Win=65535 Len=0"
"145","56.278139809","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"146","56.278180565","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=5950 Ack=4569 Win=65535 Len=0"
"147","58.185713539","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"148","58.185926856","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=4569 Ack=6133 Win=65535 Len=0"
"149","58.265512718","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"150","58.265552138","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=6133 Ack=4682 Win=65535 Len=0"
"151","60.201466609","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"152","60.201720852","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=4682 Ack=6332 Win=65535 Len=0"
"153","60.280614533","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"154","60.280655934","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=6332 Ack=4795 Win=65535 Len=0"
"155","62.197590161","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"156","62.198249757","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=4795 Ack=6465 Win=65535 Len=0"
"157","62.294520277","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"158","62.294576914","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=6465 Ack=4908 Win=65535 Len=0"
"159","64.190981099","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"160","64.191255601","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=4908 Ack=6648 Win=65535 Len=0"
"161","64.270674599","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"162","64.270706461","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=6648 Ack=5021 Win=65535 Len=0"
"163","66.205363705","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"164","66.205624534","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=5021 Ack=6797 Win=65535 Len=0"
"165","66.286349344","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"166","66.286414577","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=6797 Ack=5134 Win=65535 Len=0"
"167","66.766944980","149.154.167.99","10.0.2.15","TLSv1.2","654","Application Data"
"168","66.766980471","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=6797 Ack=5732 Win=65535 Len=0"
"169","66.794265497","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"170","66.794498555","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=5732 Ack=6980 Win=65535 Len=0"
"171","66.796841067","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"172","66.797135531","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=5732 Ack=7113 Win=65535 Len=0"
"173","66.883666341","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"174","66.892017073","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"175","66.892313834","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=5845 Ack=7296 Win=65535 Len=0"
"179","67.610939962","149.154.167.99","10.0.2.15","TLSv1.2","185","Application Data"
"180","67.616606434","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
