"No.","Time","Source","Destination","Protocol","Length","Info"
"188","62.376074281","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=6753 Ack=5378 Win=65535 Len=0"
"189","64.257706659","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"190","64.258150477","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=5378 Ack=6886 Win=65535 Len=0"
"191","64.342674975","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"192","64.342708690","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=6886 Ack=5491 Win=65535 Len=0"
"193","66.257181040","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"194","66.257498251","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=5491 Ack=7019 Win=65535 Len=0"
"195","66.341957841","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"196","66.341995004","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=7019 Ack=5604 Win=65535 Len=0"
"197","68.375771375","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"198","68.376083216","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=5604 Ack=7152 Win=65535 Len=0"
"199","68.454937268","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"200","68.454993366","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=7152 Ack=5717 Win=65535 Len=0"
"201","70.382201745","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"202","70.382647087","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=5717 Ack=7285 Win=65535 Len=0"
"203","70.460950532","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"204","70.460986345","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=7285 Ack=5830 Win=65535 Len=0"
"221","72.384378054","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"222","72.384744493","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=5830 Ack=7418 Win=65535 Len=0"
"223","72.464964097","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"224","72.465073953","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=7418 Ack=5943 Win=65535 Len=0"
"225","74.381439327","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"226","74.381708651","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=5943 Ack=7551 Win=65535 Len=0"
"227","74.468779919","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"228","74.468820014","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=7551 Ack=6056 Win=65535 Len=0"
"229","76.396790124","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"230","76.397372184","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=6056 Ack=7718 Win=65535 Len=0"
"231","76.478627378","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"232","76.478718068","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=7718 Ack=6169 Win=65535 Len=0"
"233","78.207464786","149.154.167.99","10.0.2.15","TLSv1.2","185","Application Data"
"234","78.207537282","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=7718 Ack=6298 Win=65535 Len=0"
"235","78.242948375","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"236","78.243237173","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=6298 Ack=7917 Win=65535 Len=0"
"237","78.383307024","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"238","78.383632790","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=6298 Ack=8066 Win=65535 Len=0"
"239","78.477054997","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"240","78.518189065","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=8066 Ack=6411 Win=65535 Len=0"
"241","80.470193708","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"242","80.470628443","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=6411 Ack=8249 Win=65535 Len=0"
"243","80.587852704","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"244","80.587885068","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=8249 Ack=6524 Win=65535 Len=0"
"245","81.249401609","10.0.2.15","149.154.167.99","TLSv1.2","95","Application Data"
"246","81.249683180","10.0.2.15","149.154.167.99","TLSv1.2","80","Application Data"
"247","81.251057525","149.154.167.99","10.0.2.15","TCP","62","443  >  42886 [ACK] Seq=40 Ack=79 Win=65535 Len=0"
"248","81.251057614","149.154.167.99","10.0.2.15","TCP","62","443  >  42886 [ACK] Seq=40 Ack=104 Win=65535 Len=0"
"249","81.331530187","149.154.167.99","10.0.2.15","TCP","62","443  >  42886 [FIN, ACK] Seq=40 Ack=104 Win=65535 Len=0"
"250","81.331559129","10.0.2.15","149.154.167.99","TCP","56","42886  >  443 [ACK] Seq=104 Ack=41 Win=62780 Len=0"
"251","82.510484153","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"252","82.511064405","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=6524 Ack=8432 Win=65535 Len=0"
"253","82.589944334","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"254","82.589987209","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=8432 Ack=6637 Win=65535 Len=0"
"255","84.492255624","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"256","84.492617844","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=6637 Ack=8615 Win=65535 Len=0"
"257","84.581318454","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"258","84.581485667","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=8615 Ack=6750 Win=65535 Len=0"
"259","86.488573113","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"260","86.488990443","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=6750 Ack=8748 Win=65535 Len=0"
"261","86.574216505","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"262","86.574287110","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=8748 Ack=6863 Win=65535 Len=0"
"263","88.520784601","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"264","88.521196025","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=6863 Ack=8915 Win=65535 Len=0"
"265","88.731817059","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"266","88.731857690","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=8915 Ack=6976 Win=65535 Len=0"
"267","90.292495031","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"268","90.292938725","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=6976 Ack=9082 Win=65535 Len=0"
"269","90.430946548","149.154.167.99","10.0.2.15","TLSv1.2","459","Application Data"
"270","90.430981632","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=9082 Ack=7379 Win=65535 Len=0"
"271","90.443141682","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"272","90.443455758","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=7379 Ack=9281 Win=65535 Len=0"
"273","90.494067723","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"274","90.494449377","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=7379 Ack=9414 Win=65535 Len=0"
"275","90.572517942","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"276","90.615585076","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=9414 Ack=7492 Win=65535 Len=0"
"277","91.726221288","149.154.167.99","10.0.2.15","TLSv1.2","185","Application Data"
"278","91.726250709","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=9414 Ack=7621 Win=65535 Len=0"
"279","91.737245579","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"280","91.737537899","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=7621 Ack=9613 Win=65535 Len=0"
"285","92.496854429","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"286","92.497185029","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=7621 Ack=9796 Win=65535 Len=0"
"287","92.577936273","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"288","92.622369000","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=9796 Ack=7734 Win=65535 Len=0"
